1,2018/10/31 12:36:47,007200002539,THREAT,url,2049,2018/10/31 12:36:47,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 12:36:47,572770,1,54513,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/The-Inbetweeners--US-_32651/season_1/episode_1/video-results/",(9999),phishing,informational,client-to-server,2042875801,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/The-Inbetweeners--US-_32651/season_1/episode_1/",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 12:35:47,007200002539,THREAT,url,2049,2018/10/31 12:35:47,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 12:35:47,144215,1,54423,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/?network=CBS",(9999),phishing,informational,client-to-server,2042874686,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 12:08:36,007200002539,THREAT,url,2049,2018/10/31 12:08:36,10.154.230.92,64.236.101.21,,,General Web Infrastructure,pancademo\adam.johnson,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 12:08:36,249529,1,50155,80,0,0,0x3000,tcp,block-url,"newsletter.adsonar.com/nwrss/imgs/nwr_1355937_8343242_73051_866767_4_2.PNG?placementId=1355937&plid=73051&pid=866767&ps=8343242&rotation=4&type=2&zw=336&zh=280&v=5&url=NA",(9999),phishing,informational,client-to-server,2042850561,0xa000000000000000,10.0.0.0-10.255.255.255,United States,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko),,,,,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 12:08:34,007200002539,THREAT,url,2049,2018/10/31 12:08:34,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 12:08:34,78467,1,54396,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/",(9999),phishing,informational,client-to-server,2042850533,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/movies/The-Five-Year-Engagement_27826/video-results/",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 11:43:45,007200002539,THREAT,url,2049,2018/10/31 11:43:45,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 11:43:45,393583,1,54482,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/Hawaii-Five-0_24015/",(9999),phishing,informational,client-to-server,2042828445,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/?network=CBS",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 11:43:06,007200002539,THREAT,url,2049,2018/10/31 11:43:06,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 11:43:06,288961,1,54463,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/Criminal-Minds--Suspect-Behavior_24904/",(9999),phishing,informational,client-to-server,2042828157,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/?network=CBS",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 11:42:52,007200002539,THREAT,url,2049,2018/10/31 11:42:52,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 11:42:52,428488,1,54423,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/?network=CBS",(9999),phishing,informational,client-to-server,2042827384,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 11:42:06,007200002539,THREAT,url,2049,2018/10/31 11:42:06,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 11:42:06,323409,1,54396,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/",(9999),phishing,informational,client-to-server,2042826425,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/movies/The-Five-Year-Engagement_27826/video-results/",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 11:17:23,007200002539,THREAT,url,2049,2018/10/31 11:17:23,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 11:17:23,417283,1,54502,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/The-Inbetweeners--US-_32651/season_1/episode_1/",(9999),phishing,informational,client-to-server,2042804480,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/The-Inbetweeners--US-_32651/",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 11:16:24,007200002539,THREAT,url,2049,2018/10/31 11:16:24,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 11:16:24,655780,1,54423,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/?network=CBS",(9999),phishing,informational,client-to-server,2042803363,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 10:50:53,007200002539,THREAT,url,2049,2018/10/31 10:50:53,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 10:50:53,110931,1,54513,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/The-Inbetweeners--US-_32651/season_1/episode_1/video-results/",(9999),phishing,informational,client-to-server,2042780207,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/The-Inbetweeners--US-_32651/season_1/episode_1/",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
